,,,अञ्चल क्षेत्र अनुसार मतदत सख्या,,,,,,,,,,
Development Region,Zone,District,क्षेत्र नम्बर 1,क्षेत्र नम्बर 2,क्षेत्र नम्बर 3,क्षेत्र नम्बर 4,क्षेत्र नम्बर 5,क्षेत्र नम्बर 6,क्षेत्र नम्बर 7,क्षेत्र नम्बर 8,क्षेत्र नम्बर 9,क्षेत्र नम्बर 10,Total
मध्य पश्चिमाञ्चल विकास क्षेत्र,कर्णाली,डोल्पा,14860,,,,,,,,,,14860
मध्य पश्चिमाञ्चल विकास क्षेत्र,कर्णाली,मुगु,23821,,,,,,,,,,23821
मध्य पश्चिमाञ्चल विकास क्षेत्र,कर्णाली,जुम्ला,47445,,,,,,,,,,47445
मध्य पश्चिमाञ्चल विकास क्षेत्र,कर्णाली,कालिकोट,53534,,,,,,,,,,53534
मध्य पश्चिमाञ्चल विकास क्षेत्र,कर्णाली,हुम्ला,22116,,,,,,,,,,22116
मध्य पश्चिमाञ्चल विकास क्षेत्र,भेरी,जाजरकोट,32965,31538,,,,,,,,,64503
मध्य पश्चिमाञ्चल विकास क्षेत्र,भेरी,दैलेख,57626,56447,,,,,,,,,114073
मध्य पश्चिमाञ्चल विकास क्षेत्र,भेरी,सुर्खेत,47938,58901,47972,,,,,,,,154811
मध्य पश्चिमाञ्चल विकास क्षेत्र,भेरी,बाँके,59163,46796,49294,53914,,,,,,,209167
मध्य पश्चिमाञ्चल विकास क्षेत्र,भेरी,बर्दीया,54368,55876,56192,49953,,,,,,,216389
सुदुर पश्चिमाञ्चल विकास क्षेत्र,सेती,बाजुरा,58810,,,,,,,,,,58810
सुदुर पश्चिमाञ्चल विकास क्षेत्र,सेती,अछाम,56574,56256,,,,,,,,,112830
सुदुर पश्चिमाञ्चल विकास क्षेत्र,सेती,बझाग,40371,44541,,,,,,,,,84912
सुदुर पश्चिमाञ्चल विकास क्षेत्र,सेती,डोटी,48168,41245,,,,,,,,,89413
सुदुर पश्चिमाञ्चल विकास क्षेत्र,सेती,कैलाली,53677,52040,54884,57216,57933,57911,,,,,333661
सुदुर पश्चिमाञ्चल विकास क्षेत्र,मेहाकाली,दाचुला,66082,,,,,,,,,,66082
सुदुर पश्चिमाञ्चल विकास क्षेत्र,मेहाकाली,बैतडी,58496,55521,,,,,,,,,114017
सुदुर पश्चिमाञ्चल विकास क्षेत्र,मेहाकाली,डडेलधुरा,65868,,,,,,,,,,65868
सुदुर पश्चिमाञ्चल विकास क्षेत्र,मेहाकाली,कञ्चनपुर,46740,56521,48967,46692,,,,,,,198920
,,,Total,,,,,,,,,,12147865
